"Source:","/home/antonio/dev/theia/THEIA/THEIA.kicad_sch"
"Date:","So 10 Apr 2022 12:37:45 CEST"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digi-Key_Part-Number","Digi-Key_Part_Number","Digi-Key_Part_number","Digi-Key_partNumber","GEOMETRY_HEIGHT","MANUFACTURER","MF","MP","Manufacturer","ORDERCODE-MANU1","PACKAGE","PRICE","VALUE"
"","","C1","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6840-1-ND","","","","","","CL21B104KCFNNNE","Samsung Electro-Mechanics","","","",""
"","","C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6840-1-ND","","","","","","CL21B104KCFNNNE","Samsung Electro-Mechanics","","","",""
"","","C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"","","C4","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"","","C5","C22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-2910-1-ND","","","","","","CL21A226MPQNNNE","Samsung Electro-Mechanics","","","",""
"","","C6","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-1099-1-ND","","","","","","CL21B104KACNNNC","Samsung Electro-Mechanics","","","",""
"","","C7","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","732-12215-1-ND","","","","","","885012007094","Würth Elektronik","","","",""
"","","C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6840-1-ND","","","","","","CL21B104KCFNNNE","Samsung Electro-Mechanics","","","",""
"","","C9","2.2uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-1162-1-ND","","","","","","CL21B225KOFNNNE","Samsung Electro-Mechanics","","","",""
"","","C10","2.2uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-1162-1-ND","","","","","","CL21B225KOFNNNE","Samsung Electro-Mechanics","","","",""
"","","C11","0.47uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6480-1-ND","","","","","","CL21B474KAFNNNG","Samsung Electro-Mechanics","","","",""
"","","C12","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6840-1-ND","","","","","","CL21B104KCFNNNE","Samsung Electro-Mechanics","","","",""
"","","C13","0.022uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","478-1360-1-ND","","","","","","08051C223KAT2A","KYOCERA AVX","","","",""
"","","C14","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6840-1-ND","","","","","","CL21B104KCFNNNE","Samsung Electro-Mechanics","","","",""
"","","C15","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","1276-6840-1-ND","","","","","","CL21B104KCFNNNE","Samsung Electro-Mechanics","","","",""
